ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"ALTERNATOR-DEUTZ"	"ALT1"	""	"1"	""	""	""	""	""
"2"	"47u"	"C1,C3,C5,C7"	"CASE-A_3216"	"4"	""	""	""	""	""
"3"	"0.1u"	"C2,C4,C6,C8"	"C0603"	"4"	""	""	""	""	""
"4"	"M023.5MM-NO_SILK"	"JP1"	"SCREWTERMINAL-3.5MM-2-NS"	"1"	""	""	""	""	""
"5"	"LCD_SCREEN"	"LCD"	"LCD SCREEN"	"1"	"New SchematicLib"	""	""	""	""
"6"	"MOSFET-N"	"Q1"	"TO220V"	"1"	""	""	""	""	""
"7"	"1k"	"R1,R3"	"R0603"	"2"	""	""	""	""	""
"8"	"3.8k"	"R2"	"R0603"	"1"	""	""	""	""	""
"9"	"18.2k"	"R4"	"R0603"	"1"	""	""	""	""	""
"10"	"ARDUINO UNO r3"	"U1"	"ARDUINO_UNO_SHIELD_EFSHIELD ARDUINO UNO PH"	"1"	""	""	""	""	""
"11"	"LM317T"	"U2,U4"	"LM317"	"2"	"LM317T-DG"	"STMicroelectronics"	"LCSC"	"C18718"	"0.325"
"12"	"I2C LCD Backpack"	"U3"	"I2C LCD BACKPACK"	"1"	"I2C Bus Converter"	""	""	""	""
"13"	"REL-SPDT"	"U5,U6"	"RELAY-"	"2"	""	""	""	""	""
